file,species
Small-flowered Cranesbill_196.png,Small-flowered Cranesbill
Maize_245.png,Maize
Maize_251.png,Maize
Small-flowered Cranesbill_182.png,Small-flowered Cranesbill
Cleavers_244.png,Cleavers
Black-grass_33.png,Black-grass
Sugar beet_110.png,Sugar beet
Small-flowered Cranesbill_169.png,Small-flowered Cranesbill
Loose Silky-bent_112.png,Loose Silky-bent
Loose Silky-bent_106.png,Loose Silky-bent
Black-grass_27.png,Black-grass
Sugar beet_104.png,Sugar beet
Small-flowered Cranesbill_155.png,Small-flowered Cranesbill
Small-flowered Cranesbill_141.png,Small-flowered Cranesbill
Shepherds Purse_9.png,Shepherds Purse
Sugar beet_138.png,Sugar beet
Shepherds Purse_8.png,Shepherds Purse
Small-flowered Cranesbill_140.png,Small-flowered Cranesbill
Sugar beet_139.png,Sugar beet
Small-flowered Cranesbill_154.png,Small-flowered Cranesbill
Loose Silky-bent_107.png,Loose Silky-bent
Sugar beet_105.png,Sugar beet
Black-grass_26.png,Black-grass
Sugar beet_111.png,Sugar beet
Black-grass_32.png,Black-grass
Loose Silky-bent_113.png,Loose Silky-bent
Small-flowered Cranesbill_168.png,Small-flowered Cranesbill
Small-flowered Cranesbill_183.png,Small-flowered Cranesbill
Maize_250.png,Maize
Cleavers_245.png,Cleavers
Cleavers_251.png,Cleavers
Maize_244.png,Maize
Small-flowered Cranesbill_197.png,Small-flowered Cranesbill
Common wheat_3.png,Common wheat
Fat Hen_227.png,Fat Hen
Common wheat_226.png,Common wheat
Fat Hen_233.png,Fat Hen
Common wheat_232.png,Common wheat
Shepherds Purse_22.png,Shepherds Purse
Shepherds Purse_127.png,Shepherds Purse
Scentless Mayweed_159.png,Scentless Mayweed
Shepherds Purse_133.png,Shepherds Purse
Common Chickweed_208.png,Cleavers
Charlock_242.png,Charlock
Shepherds Purse_36.png,Shepherds Purse
Black-grass_216.png,Black-grass
Scentless Mayweed_171.png,Scentless Mayweed
Common Chickweed_220.png,Common Chickweed
Scentless Mayweed_165.png,Scentless Mayweed
Common Chickweed_234.png,Common Chickweed
Black-grass_202.png,Black-grass
Scentless Mayweed_34.png,Scentless Mayweed
Small-flowered Cranesbill_236.png,Small-flowered Cranesbill
Small-flowered Cranesbill_222.png,Small-flowered Cranesbill
Scentless Mayweed_20.png,Scentless Mayweed
Cleavers_133.png,Cleavers
Maize_126.png,Maize
Loose Silky-bent_14.png,Loose Silky-bent
Fat Hen_19.png,Fat Hen
Maize_132.png,Maize
Common wheat_19.png,Common wheat
Cleavers_127.png,Cleavers
Common wheat_31.png,Common wheat
Fat Hen_31.png,Fat Hen
Loose Silky-bent_28.png,Loose Silky-bent
Fat Hen_25.png,Fat Hen
Common wheat_25.png,Common wheat
Small-flowered Cranesbill_62.png,Small-flowered Cranesbill
Fat Hen_151.png,Fat Hen
Common wheat_150.png,Common wheat
Cleavers_32.png,Cleavers
Cleavers_26.png,Cleavers
Fat Hen_145.png,Fat Hen
Common Chickweed_12.png,Common Chickweed
Common wheat_144.png,Common wheat
Small-flowered Cranesbill_76.png,Small-flowered Cranesbill
Common Chickweed_195.png,Common Chickweed
Maize_88.png,Maize
Fat Hen_179.png,Fat Hen
Common Chickweed_181.png,Common Chickweed
Common wheat_178.png,Common wheat
Common wheat_193.png,Common wheat
Fat Hen_192.png,Fat Hen
Shepherds Purse_251.png,Shepherds Purse
Sugar beet_37.png,Sugar beet
Charlock_18.png,Charlock
Charlock_120.png,Charlock
Maize_77.png,Maize
Maize_63.png,Maize
Black-grass_148.png,Black-grass
Charlock_134.png,Charlock
Common wheat_187.png,Common wheat
Shepherds Purse_245.png,Shepherds Purse
Fat Hen_186.png,Fat Hen
Sugar beet_23.png,Sugar beet
Charlock_24.png,Charlock
Scentless Mayweed_207.png,Scentless Mayweed
Common Chickweed_156.png,Common Chickweed
Black-grass_160.png,Black-grass
Charlock_108.png,Charlock
Black-grass_174.png,Black-grass
Scentless Mayweed_213.png,Scentless Mayweed
Common Chickweed_142.png,Common Chickweed
Small-flowered Cranesbill_89.png,Small-flowered Cranesbill
Charlock_30.png,Charlock
Black-grass_162.png,Black-grass
Maize_49.png,Maize
Common Chickweed_154.png,Common Chickweed
Scentless Mayweed_205.png,Scentless Mayweed
Charlock_26.png,Charlock
Charlock_32.png,Charlock
Common Chickweed_140.png,Common Chickweed
Scentless Mayweed_211.png,Scentless Mayweed
Black-grass_176.png,Black-grass
Maize_75.png,Maize
Charlock_122.png,Charlock
Fat Hen_190.png,Fat Hen
Common Chickweed_168.png,Common Chickweed
Sugar beet_35.png,Sugar beet
Scentless Mayweed_239.png,Scentless Mayweed
Common wheat_191.png,Common wheat
Fat Hen_184.png,Fat Hen
Shepherds Purse_247.png,Shepherds Purse
Sugar beet_21.png,Sugar beet
Common wheat_185.png,Common wheat
Charlock_136.png,Charlock
Maize_61.png,Maize
Common Chickweed_197.png,Common Chickweed
Common Chickweed_38.png,Common Chickweed
Common Chickweed_183.png,Common Chickweed
Small-flowered Cranesbill_48.png,Small-flowered Cranesbill
Cleavers_18.png,Cleavers
Cleavers_30.png,Cleavers
Common wheat_152.png,Common wheat
Fat Hen_153.png,Fat Hen
Small-flowered Cranesbill_60.png,Small-flowered Cranesbill
Small-flowered Cranesbill_74.png,Small-flowered Cranesbill
Common wheat_146.png,Common wheat
Common Chickweed_10.png,Common Chickweed
Fat Hen_147.png,Fat Hen
Black-grass_189.png,Black-grass
Cleavers_24.png,Cleavers
Maize_118.png,Maize
Fat Hen_33.png,Fat Hen
Common wheat_33.png,Common wheat
Cleavers_119.png,Cleavers
Common wheat_27.png,Common wheat
Fat Hen_27.png,Fat Hen
Loose Silky-bent_16.png,Loose Silky-bent
Maize_124.png,Maize
Cleavers_131.png,Cleavers
Cleavers_125.png,Cleavers
Maize_130.png,Maize
Small-flowered Cranesbill_208.png,Small-flowered Cranesbill
Small-flowered Cranesbill_234.png,Small-flowered Cranesbill
Scentless Mayweed_36.png,Scentless Mayweed
Scentless Mayweed_22.png,Scentless Mayweed
Small-flowered Cranesbill_220.png,Small-flowered Cranesbill
Shepherds Purse_119.png,Shepherds Purse
Common Chickweed_222.png,Common Chickweed
Scentless Mayweed_173.png,Scentless Mayweed
Black-grass_214.png,Loose Silky-bent
Black-grass_200.png,Black-grass
Common Chickweed_236.png,Common Chickweed
Scentless Mayweed_167.png,Scentless Mayweed
Shepherds Purse_125.png,Shepherds Purse
Black-grass_228.png,Black-grass
Shepherds Purse_20.png,Shepherds Purse
Shepherds Purse_34.png,Shepherds Purse
Charlock_240.png,Charlock
Shepherds Purse_131.png,Shepherds Purse
Common wheat_218.png,Common wheat
Fat Hen_219.png,Fat Hen
Common wheat_224.png,Common wheat
Fat Hen_225.png,Fat Hen
Scentless Mayweed_198.png,Scentless Mayweed
Common wheat_230.png,Common wheat
Fat Hen_231.png,Fat Hen
Common wheat_1.png,Common wheat
Cleavers_247.png,Cleavers
Maize_252.png,Maize
Small-flowered Cranesbill_181.png,Small-flowered Cranesbill
Small-flowered Cranesbill_195.png,Small-flowered Cranesbill
Maize_246.png,Maize
Black-grass_24.png,Loose Silky-bent
Sugar beet_107.png,Sugar beet
Loose Silky-bent_105.png,Loose Silky-bent
Loose Silky-bent_111.png,Loose Silky-bent
Black-grass_30.png,Black-grass
Sugar beet_113.png,Sugar beet
Black-grass_18.png,Black-grass
Small-flowered Cranesbill_142.png,Small-flowered Cranesbill
Loose Silky-bent_139.png,Loose Silky-bent
Small-flowered Cranesbill_156.png,Small-flowered Cranesbill
Small-flowered Cranesbill_157.png,Small-flowered Cranesbill
Black-grass_19.png,Black-grass
Loose Silky-bent_138.png,Loose Silky-bent
Small-flowered Cranesbill_143.png,Small-flowered Cranesbill
Loose Silky-bent_110.png,Loose Silky-bent
Sugar beet_112.png,Sugar beet
Black-grass_31.png,Black-grass
Sugar beet_106.png,Sugar beet
Black-grass_25.png,Loose Silky-bent
Loose Silky-bent_104.png,Loose Silky-bent
Maize_247.png,Maize
Small-flowered Cranesbill_194.png,Small-flowered Cranesbill
Cleavers_252.png,Cleavers
Cleavers_246.png,Cleavers
Small-flowered Cranesbill_180.png,Small-flowered Cranesbill
Common wheat_0.png,Common wheat
Fat Hen_230.png,Fat Hen
Common wheat_231.png,Common wheat
Scentless Mayweed_199.png,Scentless Mayweed
Fat Hen_224.png,Fat Hen
Common wheat_225.png,Common wheat
Fat Hen_218.png,Fat Hen
Common wheat_219.png,Common wheat
Charlock_241.png,Charlock
Shepherds Purse_35.png,Shepherds Purse
Shepherds Purse_130.png,Shepherds Purse
Shepherds Purse_124.png,Shepherds Purse
Shepherds Purse_21.png,Shepherds Purse
Black-grass_229.png,Black-grass
Black-grass_201.png,Black-grass
Scentless Mayweed_166.png,Scentless Mayweed
Common Chickweed_237.png,Common Chickweed
Scentless Mayweed_172.png,Loose Silky-bent
Shepherds Purse_118.png,Shepherds Purse
Common Chickweed_223.png,Common Chickweed
Black-grass_215.png,Black-grass
Scentless Mayweed_23.png,Scentless Mayweed
Small-flowered Cranesbill_221.png,Small-flowered Cranesbill
Small-flowered Cranesbill_235.png,Small-flowered Cranesbill
Scentless Mayweed_37.png,Scentless Mayweed
Small-flowered Cranesbill_209.png,Small-flowered Cranesbill
Cleavers_124.png,Cleavers
Maize_131.png,Maize
Maize_125.png,Maize
Loose Silky-bent_17.png,Loose Silky-bent
Cleavers_130.png,Cleavers
Common wheat_26.png,Common wheat
Cleavers_118.png,Cleavers
Fat Hen_26.png,Fat Hen
Fat Hen_32.png,Fat Hen
Maize_119.png,Maize
Common wheat_32.png,Common wheat
Common Chickweed_11.png,Common Chickweed
Fat Hen_146.png,Fat Hen
Common wheat_147.png,Common wheat
Small-flowered Cranesbill_75.png,Small-flowered Cranesbill
Cleavers_25.png,Cleavers
Black-grass_188.png,Black-grass
Cleavers_31.png,Cleavers
Small-flowered Cranesbill_61.png,Small-flowered Cranesbill
Fat Hen_152.png,Fat Hen
Common wheat_153.png,Common wheat
Small-flowered Cranesbill_49.png,Small-flowered Cranesbill
Common Chickweed_182.png,Common Chickweed
Cleavers_19.png,Cleavers
Common Chickweed_196.png,Common Chickweed
Common Chickweed_39.png,Common Chickweed
Common wheat_184.png,Common wheat
Sugar beet_20.png,Sugar beet
Fat Hen_185.png,Fat Hen
Shepherds Purse_246.png,Shepherds Purse
Maize_60.png,Maize
Charlock_137.png,Charlock
Charlock_123.png,Charlock
Maize_74.png,Maize
Common wheat_190.png,Common wheat
Scentless Mayweed_238.png,Scentless Mayweed
Sugar beet_34.png,Sugar beet
Shepherds Purse_252.png,Shepherds Purse
Common Chickweed_169.png,Common Chickweed
Fat Hen_191.png,Fat Hen
Scentless Mayweed_210.png,Scentless Mayweed
Common Chickweed_141.png,Common Chickweed
Charlock_33.png,Charlock
Black-grass_177.png,Black-grass
Maize_48.png,Maize
Black-grass_163.png,Black-grass
Charlock_27.png,Charlock
Scentless Mayweed_204.png,Scentless Mayweed
Common Chickweed_155.png,Common Chickweed
Fat Hen_195.png,Fat Hen
Sugar beet_30.png,Sugar beet
Common wheat_194.png,Common wheat
Maize_70.png,Maize
Charlock_127.png,Charlock
Charlock_133.png,Charlock
Maize_64.png,Maize
Shepherds Purse_242.png,Shepherds Purse
Common Chickweed_179.png,Common Chickweed
Fat Hen_181.png,Fat Hen
Sugar beet_24.png,Sugar beet
Common wheat_180.png,Common wheat
Scentless Mayweed_228.png,Scentless Mayweed
Common Chickweed_151.png,Common Chickweed
Scentless Mayweed_200.png,Scentless Mayweed
Charlock_23.png,Charlock
Black-grass_167.png,Black-grass
Maize_58.png,Maize
Black-grass_173.png,Black-grass
Charlock_37.png,Charlock
Sugar beet_18.png,Sugar beet
Common Chickweed_145.png,Common Chickweed
Scentless Mayweed_214.png,Scentless Mayweed
Common wheat_157.png,Common wheat
Fat Hen_156.png,Fat Hen
Small-flowered Cranesbill_65.png,Small-flowered Cranesbill
Cleavers_35.png,Cleavers
Black-grass_198.png,Black-grass
Cleavers_21.png,Cleavers
Small-flowered Cranesbill_71.png,Small-flowered Cranesbill
Common wheat_143.png,Common wheat
Fat Hen_142.png,Fat Hen
Common Chickweed_15.png,Common Chickweed
Small-flowered Cranesbill_59.png,Small-flowered Cranesbill
Common Chickweed_192.png,Common Chickweed
Common Chickweed_186.png,Common Chickweed
Common Chickweed_29.png,Common Chickweed
Cleavers_134.png,Cleavers
Loose Silky-bent_13.png,Loose Silky-bent
Maize_121.png,Maize
Maize_135.png,Maize
Cleavers_120.png,Cleavers
Common wheat_36.png,Common wheat
Cleavers_108.png,Cleavers
Fat Hen_36.png,Fat Hen
Fat Hen_22.png,Fat Hen
Maize_109.png,Maize
Common wheat_22.png,Common wheat
Scentless Mayweed_33.png,Scentless Mayweed
Sugar beet_248.png,Sugar beet
Small-flowered Cranesbill_231.png,Small-flowered Cranesbill
Small-flowered Cranesbill_225.png,Small-flowered Cranesbill
Scentless Mayweed_27.png,Scentless Mayweed
Small-flowered Cranesbill_219.png,Small-flowered Cranesbill
Charlock_251.png,Charlock
Shepherds Purse_25.png,Shepherds Purse
Shepherds Purse_120.png,Shepherds Purse
Shepherds Purse_134.png,Shepherds Purse
Shepherds Purse_31.png,Shepherds Purse
Black-grass_239.png,Black-grass
Charlock_245.png,Charlock
Shepherds Purse_19.png,Shepherds Purse
Black-grass_211.png,Black-grass
Common Chickweed_227.png,Common Chickweed
Scentless Mayweed_176.png,Scentless Mayweed
Shepherds Purse_108.png,Shepherds Purse
Common Chickweed_233.png,Common Chickweed
Scentless Mayweed_162.png,Scentless Mayweed
Black-grass_205.png,Black-grass
Common wheat_221.png,Common wheat
Scentless Mayweed_189.png,Scentless Mayweed
Fat Hen_220.png,Fat Hen
Common wheat_235.png,Common wheat
Fat Hen_234.png,Fat Hen
Common wheat_209.png,Common wheat
Fat Hen_208.png,Fat Hen
Small-flowered Cranesbill_184.png,Small-flowered Cranesbill
Cleavers_242.png,Cleavers
Small-flowered Cranesbill_190.png,Small-flowered Cranesbill
Maize_243.png,Maize
Common wheat_4.png,Common wheat
Small-flowered Cranesbill_147.png,Small-flowered Cranesbill
Loose Silky-bent_128.png,Loose Silky-bent
Small-flowered Cranesbill_153.png,Small-flowered Cranesbill
Loose Silky-bent_100.png,Loose Silky-bent
Sugar beet_102.png,Sugar beet
Black-grass_21.png,Loose Silky-bent
Sugar beet_116.png,Sugar beet
Black-grass_35.png,Black-grass
Loose Silky-bent_114.png,Loose Silky-bent
Black-grass_34.png,Loose Silky-bent
Sugar beet_117.png,Sugar beet
Loose Silky-bent_115.png,Loose Silky-bent
Loose Silky-bent_101.png,Loose Silky-bent
Black-grass_20.png,Black-grass
Sugar beet_103.png,Sugar beet
Small-flowered Cranesbill_152.png,Small-flowered Cranesbill
Loose Silky-bent_129.png,Loose Silky-bent
Small-flowered Cranesbill_146.png,Small-flowered Cranesbill
Common wheat_5.png,Common wheat
Maize_242.png,Maize
Small-flowered Cranesbill_191.png,Small-flowered Cranesbill
Small-flowered Cranesbill_185.png,Small-flowered Cranesbill
Cleavers_243.png,Cleavers
Fat Hen_209.png,Fat Hen
Common wheat_208.png,Common wheat
Fat Hen_235.png,Fat Hen
Common wheat_234.png,Common wheat
Fat Hen_221.png,Fat Hen
Scentless Mayweed_188.png,Scentless Mayweed
Common wheat_220.png,Common wheat
Scentless Mayweed_163.png,Scentless Mayweed
Shepherds Purse_109.png,Shepherds Purse
Common Chickweed_232.png,Common Chickweed
Black-grass_204.png,Black-grass
Black-grass_210.png,Black-grass
Shepherds Purse_18.png,Shepherds Purse
Scentless Mayweed_177.png,Scentless Mayweed
Common Chickweed_226.png,Common Chickweed
Shepherds Purse_135.png,Shepherds Purse
Charlock_244.png,Charlock
Black-grass_238.png,Loose Silky-bent
Shepherds Purse_30.png,Shepherds Purse
Shepherds Purse_24.png,Shepherds Purse
Charlock_250.png,Charlock
Shepherds Purse_121.png,Shepherds Purse
Small-flowered Cranesbill_218.png,Small-flowered Cranesbill
Small-flowered Cranesbill_224.png,Small-flowered Cranesbill
Scentless Mayweed_26.png,Scentless Mayweed
Sugar beet_249.png,Sugar beet
Scentless Mayweed_32.png,Scentless Mayweed
Small-flowered Cranesbill_230.png,Small-flowered Cranesbill
Maize_108.png,Maize
Fat Hen_23.png,Fat Hen
Common wheat_23.png,Common wheat
Cleavers_109.png,Cleavers
Common wheat_37.png,Common wheat
Fat Hen_37.png,Fat Hen
Maize_134.png,Maize
Cleavers_121.png,Cleavers
Cleavers_135.png,Cleavers
Maize_120.png,Maize
Loose Silky-bent_12.png,Loose Silky-bent
Common Chickweed_187.png,Common Chickweed
Common Chickweed_28.png,Common Chickweed
Common Chickweed_193.png,Common Chickweed
Small-flowered Cranesbill_58.png,Small-flowered Cranesbill
Cleavers_20.png,Cleavers
Fat Hen_143.png,Fat Hen
Common Chickweed_14.png,Common Chickweed
Common wheat_142.png,Black-grass
Small-flowered Cranesbill_70.png,Small-flowered Cranesbill
Small-flowered Cranesbill_64.png,Small-flowered Cranesbill
Fat Hen_157.png,Fat Hen
Common wheat_156.png,Common wheat
Black-grass_199.png,Black-grass
Cleavers_34.png,Cleavers
Black-grass_172.png,Black-grass
Maize_59.png,Maize
Scentless Mayweed_215.png,Scentless Mayweed
Common Chickweed_144.png,Common Chickweed
Sugar beet_19.png,Sugar beet
Charlock_36.png,Charlock
Charlock_22.png,Charlock
Scentless Mayweed_201.png,Scentless Mayweed
Common Chickweed_150.png,Common Chickweed
Black-grass_166.png,Black-grass
Maize_65.png,Maize
Charlock_132.png,Charlock
Scentless Mayweed_229.png,Scentless Mayweed
Common wheat_181.png,Common wheat
Sugar beet_25.png,Sugar beet
Shepherds Purse_243.png,Shepherds Purse
Fat Hen_180.png,Fat Hen
Common Chickweed_178.png,Common Chickweed
Common wheat_195.png,Common wheat
Sugar beet_31.png,Sugar beet
Fat Hen_194.png,Fat Hen
Charlock_126.png,Charlock
Maize_71.png,Maize
Sugar beet_27.png,Sugar beet
Fat Hen_182.png,Fat Hen
Shepherds Purse_241.png,Shepherds Purse
Common wheat_183.png,Loose Silky-bent
Charlock_130.png,Charlock
Maize_67.png,Maize
Maize_73.png,Maize
Black-grass_158.png,Black-grass
Charlock_124.png,Charlock
Sugar beet_33.png,Sugar beet
Fat Hen_196.png,Fat Hen
Common wheat_197.png,Common wheat
Charlock_34.png,Charlock
Common Chickweed_146.png,Common Chickweed
Scentless Mayweed_217.png,Scentless Mayweed
Black-grass_170.png,Black-grass
Charlock_118.png,Charlock
Black-grass_164.png,Black-grass
Common Chickweed_152.png,Common Chickweed
Scentless Mayweed_203.png,Scentless Mayweed
Charlock_20.png,Charlock
Small-flowered Cranesbill_99.png,Small-flowered Cranesbill
Small-flowered Cranesbill_72.png,Small-flowered Cranesbill
Common wheat_140.png,Common wheat
Common Chickweed_16.png,Common Chickweed
Fat Hen_141.png,Fat Hen
Cleavers_22.png,Cleavers
Cleavers_36.png,Cleavers
Common wheat_154.png,Common wheat
Fat Hen_155.png,Fat Hen
Small-flowered Cranesbill_66.png,Small-flowered Cranesbill
Common Chickweed_185.png,Common Chickweed
Maize_98.png,Maize
Common wheat_168.png,Common wheat
Fat Hen_169.png,Fat Hen
Common Chickweed_191.png,Common Chickweed
Cleavers_123.png,Cleavers
Maize_136.png,Maize
Loose Silky-bent_10.png,Loose Silky-bent
Maize_122.png,Maize
Cleavers_137.png,Cleavers
Common wheat_21.png,Common wheat
Fat Hen_21.png,Fat Hen
Loose Silky-bent_38.png,Loose Silky-bent
Fat Hen_35.png,Fat Hen
Common wheat_35.png,Common wheat
Scentless Mayweed_24.png,Scentless Mayweed
Small-flowered Cranesbill_226.png,Small-flowered Cranesbill
Loose Silky-bent_249.png,Loose Silky-bent
Small-flowered Cranesbill_232.png,Small-flowered Cranesbill
Scentless Mayweed_30.png,Scentless Mayweed
Scentless Mayweed_18.png,Scentless Mayweed
Shepherds Purse_32.png,Shepherds Purse
Charlock_246.png,Charlock
Shepherds Purse_137.png,Shepherds Purse
Shepherds Purse_123.png,Shepherds Purse
Common Chickweed_218.png,Common Chickweed
Scentless Mayweed_149.png,Scentless Mayweed
Charlock_252.png,Charlock
Shepherds Purse_26.png,Shepherds Purse
Black-grass_206.png,Black-grass
Common Chickweed_230.png,Common Chickweed
Scentless Mayweed_161.png,Scentless Mayweed
Common Chickweed_224.png,Common Chickweed
Scentless Mayweed_175.png,Scentless Mayweed
Black-grass_212.png,Black-grass
Common wheat_236.png,Common wheat
Fat Hen_237.png,Fat Hen
Common wheat_222.png,Common wheat
Fat Hen_223.png,Fat Hen
Small-flowered Cranesbill_193.png,Small-flowered Cranesbill
Black-grass_8.png,Black-grass
Maize_240.png,Maize
Cleavers_241.png,Cleavers
Small-flowered Cranesbill_187.png,Small-flowered Cranesbill
Small-flowered Cranesbill_9.png,Small-flowered Cranesbill
Common wheat_7.png,Common wheat
Small-flowered Cranesbill_150.png,Small-flowered Cranesbill
Sugar beet_129.png,Sugar beet
Small-flowered Cranesbill_144.png,Small-flowered Cranesbill
Loose Silky-bent_117.png,Loose Silky-bent
Sugar beet_115.png,Sugar beet
Black-grass_36.png,Black-grass
Sugar beet_101.png,Sugar beet
Black-grass_22.png,Black-grass
Loose Silky-bent_103.png,Loose Silky-bent
Small-flowered Cranesbill_178.png,Small-flowered Cranesbill
Black-grass_23.png,Black-grass
Sugar beet_100.png,Sugar beet
Small-flowered Cranesbill_179.png,Small-flowered Cranesbill
Loose Silky-bent_102.png,Loose Silky-bent
Loose Silky-bent_116.png,Loose Silky-bent
Black-grass_37.png,Black-grass
Sugar beet_114.png,Sugar beet
Small-flowered Cranesbill_145.png,Small-flowered Cranesbill
Small-flowered Cranesbill_151.png,Small-flowered Cranesbill
Sugar beet_128.png,Sugar beet
Common wheat_6.png,Common wheat
Small-flowered Cranesbill_8.png,Small-flowered Cranesbill
Cleavers_240.png,Cleavers
Small-flowered Cranesbill_186.png,Small-flowered Cranesbill
Maize_241.png,Maize
Black-grass_9.png,Black-grass
Small-flowered Cranesbill_192.png,Small-flowered Cranesbill
Fat Hen_222.png,Fat Hen
Common wheat_223.png,Common wheat
Fat Hen_236.png,Fat Hen
Common wheat_237.png,Common wheat
Scentless Mayweed_174.png,Scentless Mayweed
Common Chickweed_225.png,Common Chickweed
Black-grass_213.png,Black-grass
Black-grass_207.png,Black-grass
Scentless Mayweed_160.png,Scentless Mayweed
Common Chickweed_231.png,Common Chickweed
Scentless Mayweed_148.png,Scentless Mayweed
Shepherds Purse_122.png,Shepherds Purse
Common Chickweed_219.png,Common Chickweed
Shepherds Purse_27.png,Shepherds Purse
Charlock_247.png,Charlock
Shepherds Purse_33.png,Shepherds Purse
Shepherds Purse_136.png,Shepherds Purse
Scentless Mayweed_19.png,Scentless Mayweed
Small-flowered Cranesbill_233.png,Small-flowered Cranesbill
Loose Silky-bent_248.png,Loose Silky-bent
Scentless Mayweed_31.png,Scentless Mayweed
Scentless Mayweed_25.png,Scentless Mayweed
Small-flowered Cranesbill_227.png,Small-flowered Cranesbill
Fat Hen_34.png,Fat Hen
Common wheat_34.png,Common wheat
Common wheat_20.png,Common wheat
Loose Silky-bent_39.png,Loose Silky-bent
Fat Hen_20.png,Fat Hen
Maize_123.png,Maize
Loose Silky-bent_11.png,Loose Silky-bent
Cleavers_136.png,Cleavers
Cleavers_122.png,Cleavers
Maize_137.png,Maize
Common Chickweed_190.png,Common Chickweed
Fat Hen_168.png,Fat Hen
Common wheat_169.png,Common wheat
Common Chickweed_184.png,Common Chickweed
Maize_99.png,Maize
Cleavers_37.png,Cleavers
Small-flowered Cranesbill_67.png,Maize
Fat Hen_154.png,Fat Hen
Common wheat_155.png,Common wheat
Common Chickweed_17.png,Common Chickweed
Fat Hen_140.png,Fat Hen
Common wheat_141.png,Common wheat
Small-flowered Cranesbill_73.png,Small-flowered Cranesbill
Cleavers_23.png,Cleavers
Black-grass_165.png,Black-grass
Charlock_119.png,Charlock
Small-flowered Cranesbill_98.png,Small-flowered Cranesbill
Charlock_21.png,Charlock
Scentless Mayweed_202.png,Scentless Mayweed
Common Chickweed_153.png,Common Chickweed
Scentless Mayweed_216.png,Scentless Mayweed
Common Chickweed_147.png,Common Chickweed
Charlock_35.png,Charlock
Black-grass_171.png,Black-grass
Charlock_125.png,Charlock
Black-grass_159.png,Black-grass
Maize_72.png,Maize
Common wheat_196.png,Common wheat
Fat Hen_197.png,Fat Hen
Sugar beet_32.png,Sugar beet
Common wheat_182.png,Common wheat
Fat Hen_183.png,Fat Hen
Shepherds Purse_240.png,Shepherds Purse
Sugar beet_26.png,Sugar beet
Maize_66.png,Maize
Charlock_131.png,Charlock
Common Chickweed_120.png,Common Chickweed
Loose Silky-bent_1.png,Loose Silky-bent
Charlock_52.png,Charlock
Black-grass_116.png,Black-grass
Black-grass_102.png,Black-grass
Maize_29.png,Maize
Charlock_46.png,Charlock
Sugar beet_69.png,Sugar beet
Common Chickweed_134.png,Common Chickweed
Shepherds Purse_227.png,Shepherds Purse
Sugar beet_41.png,Sugar beet
